x,y,z,t
4.00,-0.00,60.00,0.00
4.00,-0.00,65.69,0.59
4.00,-0.00,71.38,1.19
4.00,-0.00,77.07,1.78
4.00,-0.00,82.76,2.37
4.00,-0.00,88.45,2.96
3.96,-0.00,94.14,3.56
3.92,-0.00,99.83,4.15
3.87,-0.00,105.52,4.74
3.82,-0.00,111.21,5.33
3.77,-0.00,116.90,5.93
3.72,-0.00,122.59,6.52
3.67,-0.00,128.28,7.11
3.63,-0.00,133.97,7.70
3.58,-0.00,139.66,8.30
3.53,-0.00,145.34,8.89
3.48,-0.00,151.03,9.48
3.43,-0.00,156.72,10.07
3.38,-0.00,162.41,10.67
3.33,-0.00,168.10,11.26
3.29,-0.00,173.79,11.85
3.24,-0.00,179.48,12.44
3.19,-0.00,185.17,13.04
3.14,-0.00,190.86,13.63
3.09,-0.00,196.55,14.22
3.04,-0.00,202.24,14.81
3.00,-0.00,207.93,15.41
2.95,-0.00,213.62,16.00
2.90,-0.00,219.31,16.59
2.85,-0.00,225.00,17.18
2.85,-0.00,225.00,17.78
2.82,0.41,225.00,18.37
2.73,0.80,225.00,18.96
2.59,1.18,225.00,19.55
2.40,1.54,225.00,20.15
2.40,1.54,225.00,20.74
2.44,1.57,219.31,21.33
2.48,1.59,213.62,21.92
2.52,1.62,207.93,22.52
2.56,1.65,202.24,23.11
2.60,1.67,196.55,23.70
2.64,1.70,190.86,24.30
2.68,1.72,185.17,24.89
2.72,1.75,179.48,25.48
2.76,1.78,173.79,26.07
2.81,1.80,168.10,26.67
2.85,1.83,162.41,27.26
2.89,1.86,156.72,27.85
2.93,1.88,151.03,28.44
2.97,1.91,145.34,29.04
3.01,1.93,139.66,29.63
3.05,1.96,133.97,30.22
3.09,1.99,128.28,30.81
3.13,2.01,122.59,31.41
3.17,2.04,116.90,32.00
3.21,2.06,111.21,32.59
3.25,2.09,105.52,33.18
3.29,2.12,99.83,33.78
3.34,2.14,94.14,34.37
3.37,2.16,88.45,34.96
3.37,2.16,82.76,35.55
3.37,2.16,77.07,36.15
3.37,2.16,71.38,36.74
3.37,2.16,65.69,37.33
3.37,2.16,60.00,37.92
3.37,2.16,60.00,38.52
3.02,2.62,60.00,39.11
2.62,3.02,60.00,39.70
2.16,3.37,60.00,40.29
1.66,3.64,60.00,40.89
1.66,3.64,60.00,41.48
1.66,3.64,65.69,42.07
1.66,3.64,71.38,42.66
1.66,3.64,77.07,43.26
1.66,3.64,82.76,43.85
1.66,3.64,88.45,44.44
1.65,3.61,94.14,45.04
1.63,3.56,99.83,45.63
1.61,3.52,105.52,46.22
1.59,3.47,111.21,46.81
1.57,3.43,116.90,47.41
1.55,3.39,122.59,48.00
1.53,3.34,128.28,48.59
1.51,3.30,133.97,49.18
1.49,3.25,139.66,49.78
1.47,3.21,145.34,50.37
1.45,3.17,151.03,50.96
1.43,3.12,156.72,51.55
1.41,3.08,162.41,52.15
1.39,3.03,168.10,52.74
1.37,2.99,173.79,53.33
1.35,2.95,179.48,53.92
1.32,2.90,185.17,54.52
1.30,2.86,190.86,55.11
1.28,2.81,196.55,55.70
1.26,2.77,202.24,56.29
1.24,2.72,207.93,56.89
1.22,2.68,213.62,57.48
1.20,2.64,219.31,58.07
1.18,2.59,225.00,58.66
1.18,2.59,225.00,59.26
0.80,2.73,225.00,59.85
0.41,2.82,225.00,60.44
0.00,2.85,225.00,61.03
-0.41,2.82,225.00,61.63
-0.41,2.82,225.00,62.22
-0.41,2.87,219.31,62.81
-0.42,2.92,213.62,63.40
-0.43,2.96,207.93,64.00
-0.43,3.01,202.24,64.59
-0.44,3.06,196.55,65.18
-0.45,3.11,190.86,65.77
-0.45,3.16,185.17,66.37
-0.46,3.20,179.48,66.96
-0.47,3.25,173.79,67.55
-0.47,3.30,168.10,68.15
-0.48,3.35,162.41,68.74
-0.49,3.40,156.72,69.33
-0.50,3.44,151.03,69.92
-0.50,3.49,145.34,70.52
-0.51,3.54,139.66,71.11
-0.52,3.59,133.97,71.70
-0.52,3.64,128.28,72.29
-0.53,3.68,122.59,72.89
-0.54,3.73,116.90,73.48
-0.54,3.78,111.21,74.07
-0.55,3.83,105.52,74.66
-0.56,3.88,99.83,75.26
-0.56,3.92,94.14,75.85
-0.57,3.96,88.45,76.44
-0.57,3.96,82.76,77.03
-0.57,3.96,77.07,77.63
-0.57,3.96,71.38,78.22
-0.57,3.96,65.69,78.81
-0.57,3.96,60.00,79.40
-0.57,3.96,60.00,80.00
-1.13,3.84,60.00,80.59
-1.66,3.64,60.00,81.18
-2.16,3.37,60.00,81.77
-2.62,3.02,60.00,82.37
-2.62,3.02,60.00,82.96
-2.62,3.02,65.69,83.55
-2.62,3.02,71.38,84.14
-2.62,3.02,77.07,84.74
-2.62,3.02,82.76,85.33
-2.62,3.02,88.45,85.92
-2.60,3.00,94.14,86.51
-2.56,2.96,99.83,87.11
-2.53,2.92,105.52,87.70
-2.50,2.89,111.21,88.29
-2.47,2.85,116.90,88.89
-2.44,2.81,122.59,89.48
-2.41,2.78,128.28,90.07
-2.37,2.74,133.97,90.66
-2.34,2.70,139.66,91.26
-2.31,2.67,145.34,91.85
-2.28,2.63,151.03,92.44
-2.25,2.59,156.72,93.03
-2.22,2.56,162.41,93.63
-2.18,2.52,168.10,94.22
-2.15,2.48,173.79,94.81
-2.12,2.45,179.48,95.40
-2.09,2.41,185.17,96.00
-2.06,2.37,190.86,96.59
-2.03,2.34,196.55,97.18
-1.99,2.30,202.24,97.77
-1.96,2.26,207.93,98.37
-1.93,2.23,213.62,98.96
-1.90,2.19,219.31,99.55
-1.87,2.15,225.00,100.14
-1.87,2.15,225.00,100.74
-2.15,1.87,225.00,101.33
-2.40,1.54,225.00,101.92
-2.59,1.18,225.00,102.51
-2.73,0.80,225.00,103.11
-2.73,0.80,225.00,103.70
-2.78,0.82,219.31,104.29
-2.83,0.83,213.62,104.88
-2.87,0.84,207.93,105.48
-2.92,0.86,202.24,106.07
-2.97,0.87,196.55,106.66
-3.01,0.88,190.86,107.25
-3.06,0.90,185.17,107.85
-3.11,0.91,179.48,108.44
-3.15,0.93,173.79,109.03
-3.20,0.94,168.10,109.62
-3.25,0.95,162.41,110.22
-3.29,0.97,156.72,110.81
-3.34,0.98,151.03,111.40
-3.39,0.99,145.34,112.00
-3.43,1.01,139.66,112.59
-3.48,1.02,133.97,113.18
-3.53,1.04,128.28,113.77
-3.57,1.05,122.59,114.37
-3.62,1.06,116.90,114.96
-3.66,1.08,111.21,115.55
-3.71,1.09,105.52,116.14
-3.76,1.10,99.83,116.74
-3.80,1.12,94.14,117.33
-3.84,1.13,88.45,117.92
-3.84,1.13,82.76,118.51
-3.84,1.13,77.07,119.11
-3.84,1.13,71.38,119.70
-3.84,1.13,65.69,120.29
-3.84,1.13,60.00,120.88
-3.84,1.13,60.00,121.48
-3.96,0.57,60.00,122.07
-4.00,0.00,60.00,122.66
-3.96,-0.57,60.00,123.25
-3.84,-1.13,60.00,123.85
-3.84,-1.13,60.00,124.44
-3.84,-1.13,65.69,125.03
-3.84,-1.13,71.38,125.62
-3.84,-1.13,77.07,126.22
-3.84,-1.13,82.76,126.81
-3.84,-1.13,88.45,127.40
-3.80,-1.12,94.14,127.99
-3.76,-1.10,99.83,128.59
-3.71,-1.09,105.52,129.18
-3.66,-1.08,111.21,129.77
-3.62,-1.06,116.90,130.36
-3.57,-1.05,122.59,130.96
-3.53,-1.04,128.28,131.55
-3.48,-1.02,133.97,132.14
-3.43,-1.01,139.66,132.74
-3.39,-0.99,145.34,133.33
-3.34,-0.98,151.03,133.92
-3.29,-0.97,156.72,134.51
-3.25,-0.95,162.41,135.11
-3.20,-0.94,168.10,135.70
-3.15,-0.93,173.79,136.29
-3.11,-0.91,179.48,136.88
-3.06,-0.90,185.17,137.48
-3.01,-0.88,190.86,138.07
-2.97,-0.87,196.55,138.66
-2.92,-0.86,202.24,139.25
-2.87,-0.84,207.93,139.85
-2.83,-0.83,213.62,140.44
-2.78,-0.82,219.31,141.03
-2.73,-0.80,225.00,141.62
-2.73,-0.80,225.00,142.22
-2.59,-1.18,225.00,142.81
-2.40,-1.54,225.00,143.40
-2.15,-1.87,225.00,143.99
-1.87,-2.15,225.00,144.59
-1.87,-2.15,225.00,145.18
-1.90,-2.19,219.31,145.77
-1.93,-2.23,213.62,146.36
-1.96,-2.26,207.93,146.96
-1.99,-2.30,202.24,147.55
-2.03,-2.34,196.55,148.14
-2.06,-2.37,190.86,148.73
-2.09,-2.41,185.17,149.33
-2.12,-2.45,179.48,149.92
-2.15,-2.48,173.79,150.51
-2.18,-2.52,168.10,151.10
-2.22,-2.56,162.41,151.70
-2.25,-2.59,156.72,152.29
-2.28,-2.63,151.03,152.88
-2.31,-2.67,145.34,153.47
-2.34,-2.70,139.66,154.07
-2.37,-2.74,133.97,154.66
-2.41,-2.78,128.28,155.25
-2.44,-2.81,122.59,155.85
-2.47,-2.85,116.90,156.44
-2.50,-2.89,111.21,157.03
-2.53,-2.92,105.52,157.62
