x,y,z,t
4.00,-0.00,0.00,0.00
3.96,-0.00,4.66,0.49
3.92,-0.00,9.31,0.97
3.88,-0.00,13.97,1.46
3.84,-0.00,18.62,1.94
3.80,-0.00,23.28,2.43
3.76,-0.00,27.93,2.91
3.72,-0.00,32.59,3.40
3.68,-0.00,37.24,3.88
3.64,-0.00,41.90,4.37
3.60,-0.00,46.55,4.85
3.56,-0.00,51.21,5.34
3.52,-0.00,55.86,5.83
3.48,-0.00,60.52,6.31
3.44,-0.00,65.17,6.80
3.41,-0.00,69.83,7.28
3.37,-0.00,74.48,7.77
3.33,-0.00,79.14,8.25
3.29,-0.00,83.79,8.74
3.25,-0.00,88.45,9.22
3.21,-0.00,93.10,9.71
3.17,-0.00,97.76,10.19
3.13,-0.00,102.41,10.68
3.09,-0.00,107.07,11.16
3.05,-0.00,111.72,11.65
3.01,-0.00,116.38,12.14
2.97,-0.00,121.03,12.62
2.93,-0.00,125.69,13.11
2.89,-0.00,130.34,13.59
2.85,-0.00,135.00,14.08
2.85,-0.00,135.00,14.56
2.82,0.41,135.00,15.05
2.73,0.80,135.00,15.53
2.59,1.18,135.00,16.02
2.40,1.54,135.00,16.50
2.40,1.54,135.00,16.99
2.43,1.56,130.34,17.48
2.46,1.58,125.69,17.96
2.50,1.61,121.03,18.45
2.53,1.63,116.38,18.93
2.56,1.65,111.72,19.42
2.60,1.67,107.07,19.90
2.63,1.69,102.41,20.39
2.66,1.71,97.76,20.87
2.70,1.73,93.10,21.36
2.73,1.76,88.45,21.84
2.76,1.78,83.79,22.33
2.80,1.80,79.14,22.81
2.83,1.82,74.48,23.30
2.86,1.84,69.83,23.79
2.90,1.86,65.17,24.27
2.93,1.88,60.52,24.76
2.96,1.91,55.86,25.24
3.00,1.93,51.21,25.73
3.03,1.95,46.55,26.21
3.06,1.97,41.90,26.70
3.10,1.99,37.24,27.18
3.13,2.01,32.59,27.67
3.16,2.03,27.93,28.15
3.20,2.06,23.28,28.64
3.23,2.08,18.62,29.13
3.26,2.10,13.97,29.61
3.30,2.12,9.31,30.10
3.33,2.14,4.66,30.58
3.37,2.16,0.00,31.07
3.37,2.16,0.00,31.55
3.02,2.62,0.00,32.04
2.62,3.02,0.00,32.52
2.16,3.37,0.00,33.01
1.66,3.64,0.00,33.49
1.66,3.64,0.00,33.98
1.65,3.60,4.66,34.47
1.63,3.57,9.31,34.95
1.61,3.53,13.97,35.44
1.60,3.49,18.62,35.92
1.58,3.46,23.28,36.41
1.56,3.42,27.93,36.89
1.55,3.39,32.59,37.38
1.53,3.35,37.24,37.86
1.51,3.31,41.90,38.35
1.50,3.28,46.55,38.83
1.48,3.24,51.21,39.32
1.46,3.21,55.86,39.80
1.45,3.17,60.52,40.29
1.43,3.13,65.17,40.78
1.41,3.10,69.83,41.26
1.40,3.06,74.48,41.75
1.38,3.03,79.14,42.23
1.37,2.99,83.79,42.72
1.35,2.95,88.45,43.20
1.33,2.92,93.10,43.69
1.32,2.88,97.76,44.17
1.30,2.84,102.41,44.66
1.28,2.81,107.07,45.14
1.27,2.77,111.72,45.63
1.25,2.74,116.38,46.12
1.23,2.70,121.03,46.60
1.22,2.66,125.69,47.09
1.20,2.63,130.34,47.57
