x,y,z,t
3.50,0.00,225.00,0.00
3.50,0.00,228.79,1.19
3.50,0.00,232.59,2.38
3.50,0.00,236.38,3.57
3.50,0.00,240.17,4.75
3.50,0.00,243.97,5.94
3.50,0.00,247.76,7.13
3.50,0.00,251.55,8.32
3.50,0.00,255.34,9.51
3.50,0.00,259.14,10.70
3.50,0.00,262.93,11.89
3.50,0.00,266.72,13.08
3.50,0.00,270.52,14.26
3.50,0.00,274.31,15.45
3.50,0.00,278.10,16.64
3.50,0.00,281.90,17.83
3.50,0.00,285.69,19.02
3.50,0.00,289.48,20.21
3.50,0.00,293.28,21.40
3.50,0.00,297.07,22.58
3.50,0.00,300.86,23.77
3.50,0.00,304.66,24.96
3.50,0.00,308.45,26.15
3.50,0.00,312.24,27.34
3.50,0.00,316.03,28.53
3.50,0.00,319.83,29.72
3.50,0.00,323.62,30.91
3.50,0.00,327.41,32.09
3.50,0.00,331.21,33.28
3.50,0.00,335.00,34.47
3.50,0.00,335.00,35.66
3.46,0.50,335.00,36.85
3.36,0.99,335.00,38.04
3.18,1.45,335.00,39.23
2.94,1.89,335.00,40.42
2.94,1.89,335.00,41.60
2.94,1.89,331.21,42.79
2.94,1.89,327.41,43.98
2.94,1.89,323.62,45.17
2.94,1.89,319.83,46.36
2.94,1.89,316.03,47.55
2.94,1.89,312.24,48.74
2.94,1.89,308.45,49.92
2.94,1.89,304.66,51.11
2.94,1.89,300.86,52.30
2.94,1.89,297.07,53.49
2.94,1.89,293.28,54.68
2.94,1.89,289.48,55.87
2.94,1.89,285.69,57.06
2.94,1.89,281.90,58.25
2.94,1.89,278.10,59.43
2.94,1.89,274.31,60.62
2.94,1.89,270.52,61.81
2.94,1.89,266.72,63.00
2.94,1.89,262.93,64.19
2.94,1.89,259.14,65.38
2.94,1.89,255.34,66.57
2.94,1.89,251.55,67.75
2.94,1.89,247.76,68.94
2.94,1.89,243.97,70.13
2.94,1.89,240.17,71.32
2.94,1.89,236.38,72.51
2.94,1.89,232.59,73.70
2.94,1.89,228.79,74.89
2.94,1.89,225.00,76.08
2.94,1.89,225.00,77.26
2.65,2.29,225.00,78.45
2.29,2.65,225.00,79.64
1.89,2.94,225.00,80.83
1.45,3.18,225.00,82.02
1.45,3.18,225.00,83.21
1.45,3.18,228.79,84.40
1.45,3.18,232.59,85.59
1.45,3.18,236.38,86.77
1.45,3.18,240.17,87.96
1.45,3.18,243.97,89.15
1.45,3.18,247.76,90.34
1.45,3.18,251.55,91.53
1.45,3.18,255.34,92.72
1.45,3.18,259.14,93.91
1.45,3.18,262.93,95.09
1.45,3.18,266.72,96.28
1.45,3.18,270.52,97.47
1.45,3.18,274.31,98.66
1.45,3.18,278.10,99.85
1.45,3.18,281.90,101.04
1.45,3.18,285.69,102.23
1.45,3.18,289.48,103.42
1.45,3.18,293.28,104.60
1.45,3.18,297.07,105.79
1.45,3.18,300.86,106.98
1.45,3.18,304.66,108.17
1.45,3.18,308.45,109.36
1.45,3.18,312.24,110.55
1.45,3.18,316.03,111.74
1.45,3.18,319.83,112.92
1.45,3.18,323.62,114.11
1.45,3.18,327.41,115.30
1.45,3.18,331.21,116.49
1.45,3.18,335.00,117.68
1.45,3.18,335.00,118.87
0.99,3.36,335.00,120.06
0.50,3.46,335.00,121.25
0.00,3.50,335.00,122.43
-0.50,3.46,335.00,123.62
-0.50,3.46,335.00,124.81
-0.50,3.46,331.21,126.00
-0.50,3.46,327.41,127.19
-0.50,3.46,323.62,128.38
-0.50,3.46,319.83,129.57
-0.50,3.46,316.03,130.76
-0.50,3.46,312.24,131.94
-0.50,3.46,308.45,133.13
-0.50,3.46,304.66,134.32
-0.50,3.46,300.86,135.51
-0.50,3.46,297.07,136.70
-0.50,3.46,293.28,137.89
-0.50,3.46,289.48,139.08
-0.50,3.46,285.69,140.26
-0.50,3.46,281.90,141.45
-0.50,3.46,278.10,142.64
-0.50,3.46,274.31,143.83
-0.50,3.46,270.52,145.02
-0.50,3.46,266.72,146.21
-0.50,3.46,262.93,147.40
-0.50,3.46,259.14,148.59
-0.50,3.46,255.34,149.77
-0.50,3.46,251.55,150.96
-0.50,3.46,247.76,152.15
-0.50,3.46,243.97,153.34
-0.50,3.46,240.17,154.53
-0.50,3.46,236.38,155.72
-0.50,3.46,232.59,156.91
-0.50,3.46,228.79,158.09
-0.50,3.46,225.00,159.28
-0.50,3.46,225.00,160.47
-0.99,3.36,225.00,161.66
-1.45,3.18,225.00,162.85
-1.89,2.94,225.00,164.04
-2.29,2.65,225.00,165.23
-2.29,2.65,225.00,166.42
-2.29,2.65,228.79,167.60
-2.29,2.65,232.59,168.79
-2.29,2.65,236.38,169.98
-2.29,2.65,240.17,171.17
-2.29,2.65,243.97,172.36
-2.29,2.65,247.76,173.55
-2.29,2.65,251.55,174.74
-2.29,2.65,255.34,175.93
-2.29,2.65,259.14,177.11
-2.29,2.65,262.93,178.30
-2.29,2.65,266.72,179.49
-2.29,2.65,270.52,180.68
-2.29,2.65,274.31,181.87
-2.29,2.65,278.10,183.06
-2.29,2.65,281.90,184.25
-2.29,2.65,285.69,185.43
-2.29,2.65,289.48,186.62
-2.29,2.65,293.28,187.81
-2.29,2.65,297.07,189.00
-2.29,2.65,300.86,190.19
-2.29,2.65,304.66,191.38
-2.29,2.65,308.45,192.57
-2.29,2.65,312.24,193.76
