x,y,z,t
4.0000,0.0000,5.0000,0.0000
4.0000,0.0000,5.2016,0.1008
4.0000,0.0000,5.4032,0.2016
4.0000,0.0000,5.6048,0.3024
4.0000,0.0000,5.8065,0.4032
4.0000,0.0000,6.0081,0.5040
4.0000,0.0000,6.2097,0.6048
4.0000,0.0000,6.4113,0.7056
4.0000,0.0000,6.6129,0.8065
4.0000,0.0000,6.8145,0.9073
4.0000,0.0000,7.0161,1.0081
4.0000,0.0000,7.2177,1.1089
4.0000,0.0000,7.4194,1.2097
4.0000,0.0000,7.6210,1.3105
4.0000,0.0000,7.8226,1.4113
4.0000,0.0000,8.0242,1.5121
4.0000,0.0000,8.2258,1.6129
4.0000,0.0000,8.4274,1.7137
4.0000,0.0000,8.6290,1.8145
4.0000,0.0000,8.8306,1.9153
4.0000,0.0000,9.0323,2.0161
4.0000,0.0000,9.2339,2.1169
4.0000,0.0000,9.4355,2.2177
4.0000,0.0000,9.6371,2.3185
4.0000,0.0000,9.8387,2.4194
4.0000,0.0000,10.0403,2.5202
4.0000,0.0000,10.2419,2.6210
4.0000,0.0000,10.4435,2.7218
4.0000,0.0000,10.6452,2.8226
4.0000,0.0000,10.8468,2.9234
4.0000,0.0000,11.0484,3.0242
4.0000,0.0000,11.2500,3.1250
4.0000,0.0000,11.4516,3.2258
4.0000,0.0000,11.6532,3.3266
4.0000,0.0000,11.8548,3.4274
4.0000,0.0000,12.0565,3.5282
4.0000,0.0000,12.2581,3.6290
4.0000,0.0000,12.4597,3.7298
4.0000,0.0000,12.6613,3.8306
4.0000,0.0000,12.8629,3.9315
4.0000,0.0000,13.0645,4.0323
4.0000,0.0000,13.2661,4.1331
4.0000,0.0000,13.4677,4.2339
4.0000,0.0000,13.6694,4.3347
4.0000,0.0000,13.8710,4.4355
4.0000,0.0000,14.0726,4.5363
4.0000,0.0000,14.2742,4.6371
4.0000,0.0000,14.4758,4.7379
4.0000,0.0000,14.6774,4.8387
4.0000,0.0000,14.8790,4.9395
4.0000,0.0000,15.0806,5.0403
4.0000,0.0000,15.2823,5.1411
4.0000,0.0000,15.4839,5.2419
4.0000,0.0000,15.6855,5.3427
4.0000,0.0000,15.8871,5.4435
4.0000,0.0000,16.0887,5.5444
4.0000,0.0000,16.2903,5.6452
4.0000,0.0000,16.4919,5.7460
4.0000,0.0000,16.6935,5.8468
4.0000,0.0000,16.8952,5.9476
4.0000,0.0000,17.0968,6.0484
4.0000,0.0000,17.2984,6.1492
4.0000,0.0000,17.5000,6.2500
4.0000,0.0000,17.7016,6.3508
4.0000,0.0000,17.9032,6.4516
4.0000,0.0000,18.1048,6.5524
4.0000,0.0000,18.3065,6.6532
4.0000,0.0000,18.5081,6.7540
4.0000,0.0000,18.7097,6.8548
4.0000,0.0000,18.9113,6.9556
4.0000,0.0000,19.1129,7.0565
4.0000,0.0000,19.3145,7.1573
4.0000,0.0000,19.5161,7.2581
4.0000,0.0000,19.7177,7.3589
4.0000,0.0000,19.9194,7.4597
4.0000,0.0000,20.1210,7.5605
4.0000,0.0000,20.3226,7.6613
4.0000,0.0000,20.5242,7.7621
4.0000,0.0000,20.7258,7.8629
4.0000,0.0000,20.9274,7.9637
4.0000,0.0000,21.1290,8.0645
4.0000,0.0000,21.3306,8.1653
4.0000,0.0000,21.5323,8.2661
4.0000,0.0000,21.7339,8.3669
4.0000,0.0000,21.9355,8.4677
4.0000,0.0000,22.1371,8.5685
4.0000,0.0000,22.3387,8.6694
4.0000,0.0000,22.5403,8.7702
4.0000,0.0000,22.7419,8.8710
4.0000,0.0000,22.9435,8.9718
4.0000,0.0000,23.1452,9.0726
4.0000,0.0000,23.3468,9.1734
4.0000,0.0000,23.5484,9.2742
4.0000,0.0000,23.7500,9.3750
4.0000,0.0000,23.9516,9.4758
4.0000,0.0000,24.1532,9.5766
4.0000,0.0000,24.3548,9.6774
4.0000,0.0000,24.5565,9.7782
4.0000,0.0000,24.7581,9.8790
4.0000,0.0000,24.9597,9.9798
4.0000,0.0000,25.1613,10.0806
4.0000,0.0000,25.3629,10.1815
4.0000,0.0000,25.5645,10.2823
4.0000,0.0000,25.7661,10.3831
4.0000,0.0000,25.9677,10.4839
4.0000,0.0000,26.1694,10.5847
4.0000,0.0000,26.3710,10.6855
4.0000,0.0000,26.5726,10.7863
4.0000,0.0000,26.7742,10.8871
4.0000,0.0000,26.9758,10.9879
4.0000,0.0000,27.1774,11.0887
4.0000,0.0000,27.3790,11.1895
4.0000,0.0000,27.5806,11.2903
4.0000,0.0000,27.7823,11.3911
4.0000,0.0000,27.9839,11.4919
4.0000,0.0000,28.1855,11.5927
4.0000,0.0000,28.3871,11.6935
4.0000,0.0000,28.5887,11.7944
4.0000,0.0000,28.7903,11.8952
4.0000,0.0000,28.9919,11.9960
4.0000,0.0000,29.1935,12.0968
4.0000,0.0000,29.3952,12.1976
4.0000,0.0000,29.5968,12.2984
4.0000,0.0000,29.7984,12.3992
4.0000,0.0000,30.0000,12.5000
3.9949,0.2026,30.0000,12.6013
3.9795,0.4047,30.0000,12.7027
3.9539,0.6057,30.0000,12.8040
3.9181,0.8052,30.0000,12.9054
3.8723,1.0026,30.0000,13.0067
3.8166,1.1975,30.0000,13.1081
3.7510,1.3892,30.0000,13.2094
3.6758,1.5774,30.0000,13.3107
3.5912,1.7616,30.0000,13.4121
3.4974,1.9412,30.0000,13.5134
3.3946,2.1159,30.0000,13.6148
3.2831,2.2851,30.0000,13.7161
3.1631,2.4484,30.0000,13.8174
3.0350,2.6055,30.0000,13.9188
2.8992,2.7559,30.0000,14.0201
2.7559,2.8992,30.0000,14.1215
2.6055,3.0350,30.0000,14.2228
2.4484,3.1631,30.0000,14.3242
2.2851,3.2831,30.0000,14.4255
2.1159,3.3946,30.0000,14.5268
1.9412,3.4974,30.0000,14.6282
1.7616,3.5912,30.0000,14.7295
1.5774,3.6758,30.0000,14.8309
1.3892,3.7510,30.0000,14.9322
1.1975,3.8166,30.0000,15.0335
1.0026,3.8723,30.0000,15.1349
0.8052,3.9181,30.0000,15.2362
0.6057,3.9539,30.0000,15.3376
0.4047,3.9795,30.0000,15.4389
0.2026,3.9949,30.0000,15.5403
0.0000,4.0000,30.0000,15.6416
0.0000,4.0000,30.0000,15.6416
0.0000,4.0000,29.7984,15.7424
0.0000,4.0000,29.5968,15.8432
0.0000,4.0000,29.3952,15.9440
0.0000,4.0000,29.1935,16.0448
0.0000,4.0000,28.9919,16.1456
0.0000,4.0000,28.7903,16.2464
0.0000,4.0000,28.5887,16.3472
0.0000,4.0000,28.3871,16.4480
0.0000,4.0000,28.1855,16.5489
0.0000,4.0000,27.9839,16.6497
0.0000,4.0000,27.7823,16.7505
0.0000,4.0000,27.5806,16.8513
0.0000,4.0000,27.3790,16.9521
0.0000,4.0000,27.1774,17.0529
0.0000,4.0000,26.9758,17.1537
0.0000,4.0000,26.7742,17.2545
0.0000,4.0000,26.5726,17.3553
0.0000,4.0000,26.3710,17.4561
0.0000,4.0000,26.1694,17.5569
0.0000,4.0000,25.9677,17.6577
0.0000,4.0000,25.7661,17.7585
0.0000,4.0000,25.5645,17.8593
0.0000,4.0000,25.3629,17.9601
0.0000,4.0000,25.1613,18.0609
0.0000,4.0000,24.9597,18.1618
0.0000,4.0000,24.7581,18.2626
0.0000,4.0000,24.5565,18.3634
0.0000,4.0000,24.3548,18.4642
0.0000,4.0000,24.1532,18.5650
0.0000,4.0000,23.9516,18.6658
0.0000,4.0000,23.7500,18.7666
0.0000,4.0000,23.5484,18.8674
0.0000,4.0000,23.3468,18.9682
0.0000,4.0000,23.1452,19.0690
0.0000,4.0000,22.9435,19.1698
0.0000,4.0000,22.7419,19.2706
0.0000,4.0000,22.5403,19.3714
0.0000,4.0000,22.3387,19.4722
0.0000,4.0000,22.1371,19.5730
0.0000,4.0000,21.9355,19.6739
0.0000,4.0000,21.7339,19.7747
0.0000,4.0000,21.5323,19.8755
0.0000,4.0000,21.3306,19.9763
0.0000,4.0000,21.1290,20.0771
0.0000,4.0000,20.9274,20.1779
0.0000,4.0000,20.7258,20.2787
0.0000,4.0000,20.5242,20.3795
0.0000,4.0000,20.3226,20.4803
0.0000,4.0000,20.1210,20.5811
0.0000,4.0000,19.9194,20.6819
0.0000,4.0000,19.7177,20.7827
0.0000,4.0000,19.5161,20.8835
0.0000,4.0000,19.3145,20.9843
0.0000,4.0000,19.1129,21.0851
0.0000,4.0000,18.9113,21.1859
0.0000,4.0000,18.7097,21.2868
0.0000,4.0000,18.5081,21.3876
0.0000,4.0000,18.3065,21.4884
0.0000,4.0000,18.1048,21.5892
0.0000,4.0000,17.9032,21.6900
0.0000,4.0000,17.7016,21.7908
0.0000,4.0000,17.5000,21.8916
0.0000,4.0000,17.2984,21.9924
0.0000,4.0000,17.0968,22.0932
0.0000,4.0000,16.8952,22.1940
0.0000,4.0000,16.6935,22.2948
0.0000,4.0000,16.4919,22.3956
0.0000,4.0000,16.2903,22.4964
0.0000,4.0000,16.0887,22.5972
0.0000,4.0000,15.8871,22.6980
0.0000,4.0000,15.6855,22.7989
0.0000,4.0000,15.4839,22.8997
0.0000,4.0000,15.2823,23.0005
0.0000,4.0000,15.0806,23.1013
0.0000,4.0000,14.8790,23.2021
0.0000,4.0000,14.6774,23.3029
0.0000,4.0000,14.4758,23.4037
0.0000,4.0000,14.2742,23.5045
0.0000,4.0000,14.0726,23.6053
0.0000,4.0000,13.8710,23.7061
0.0000,4.0000,13.6694,23.8069
0.0000,4.0000,13.4677,23.9077
0.0000,4.0000,13.2661,24.0085
0.0000,4.0000,13.0645,24.1093
0.0000,4.0000,12.8629,24.2101
0.0000,4.0000,12.6613,24.3109
0.0000,4.0000,12.4597,24.4118
0.0000,4.0000,12.2581,24.5126
0.0000,4.0000,12.0565,24.6134
0.0000,4.0000,11.8548,24.7142
0.0000,4.0000,11.6532,24.8150
0.0000,4.0000,11.4516,24.9158
0.0000,4.0000,11.2500,25.0166
0.0000,4.0000,11.0484,25.1174
0.0000,4.0000,10.8468,25.2182
0.0000,4.0000,10.6452,25.3190
0.0000,4.0000,10.4435,25.4198
