x,y,z,t
0.0000,0.0000,10.0000,0.0000
0.2970,0.0000,10.0495,0.1004
0.5941,0.0000,10.0990,0.2008
0.8911,0.0000,10.1485,0.3011
1.1881,0.0000,10.1980,0.4015
1.4851,0.0000,10.2475,0.5019
1.7822,0.0000,10.2970,0.6023
2.0792,0.0000,10.3465,0.7026
2.3762,0.0000,10.3960,0.8030
2.6733,0.0000,10.4455,0.9034
2.9703,0.0000,10.4950,1.0038
3.2673,0.0000,10.5446,1.1041
3.5644,0.0000,10.5941,1.2045
3.8614,0.0000,10.6436,1.3049
4.1584,0.0000,10.6931,1.4053
4.4554,0.0000,10.7426,1.5056
4.7525,0.0000,10.7921,1.6060
5.0495,0.0000,10.8416,1.7064
5.3465,0.0000,10.8911,1.8068
5.6436,0.0000,10.9406,1.9071
5.9406,0.0000,10.9901,2.0075
6.2376,0.0000,11.0396,2.1079
6.5347,0.0000,11.0891,2.2083
6.8317,0.0000,11.1386,2.3086
7.1287,0.0000,11.1881,2.4090
7.4257,0.0000,11.2376,2.5094
7.7228,0.0000,11.2871,2.6098
8.0198,0.0000,11.3366,2.7101
8.3168,0.0000,11.3861,2.8105
8.6139,0.0000,11.4356,2.9109
8.9109,0.0000,11.4851,3.0113
9.2079,0.0000,11.5347,3.1116
9.5050,0.0000,11.5842,3.2120
9.8020,0.0000,11.6337,3.3124
10.0990,0.0000,11.6832,3.4128
10.3960,0.0000,11.7327,3.5131
10.6931,0.0000,11.7822,3.6135
10.9901,0.0000,11.8317,3.7139
11.2871,0.0000,11.8812,3.8143
11.5842,0.0000,11.9307,3.9146
11.8812,0.0000,11.9802,4.0150
12.1782,0.0000,12.0297,4.1154
12.4752,0.0000,12.0792,4.2158
12.7723,0.0000,12.1287,4.3162
13.0693,0.0000,12.1782,4.4165
13.3663,0.0000,12.2277,4.5169
13.6634,0.0000,12.2772,4.6173
13.9604,0.0000,12.3267,4.7177
14.2574,0.0000,12.3762,4.8180
14.5545,0.0000,12.4257,4.9184
14.8515,0.0000,12.4752,5.0188
15.1485,0.0000,12.5248,5.1192
15.4455,0.0000,12.5743,5.2195
15.7426,0.0000,12.6238,5.3199
16.0396,0.0000,12.6733,5.4203
16.3366,0.0000,12.7228,5.5207
16.6337,0.0000,12.7723,5.6210
16.9307,0.0000,12.8218,5.7214
17.2277,0.0000,12.8713,5.8218
17.5248,0.0000,12.9208,5.9222
17.8218,0.0000,12.9703,6.0225
18.1188,0.0000,13.0198,6.1229
18.4158,0.0000,13.0693,6.2233
18.7129,0.0000,13.1188,6.3237
19.0099,0.0000,13.1683,6.4240
19.3069,0.0000,13.2178,6.5244
19.6040,0.0000,13.2673,6.6248
19.9010,0.0000,13.3168,6.7252
20.1980,0.0000,13.3663,6.8255
20.4950,0.0000,13.4158,6.9259
20.7921,0.0000,13.4653,7.0263
21.0891,0.0000,13.5149,7.1267
21.3861,0.0000,13.5644,7.2270
21.6832,0.0000,13.6139,7.3274
21.9802,0.0000,13.6634,7.4278
22.2772,0.0000,13.7129,7.5282
22.5743,0.0000,13.7624,7.6285
22.8713,0.0000,13.8119,7.7289
23.1683,0.0000,13.8614,7.8293
23.4653,0.0000,13.9109,7.9297
23.7624,0.0000,13.9604,8.0300
24.0594,0.0000,14.0099,8.1304
24.3564,0.0000,14.0594,8.2308
24.6535,0.0000,14.1089,8.3312
24.9505,0.0000,14.1584,8.4316
25.2475,0.0000,14.2079,8.5319
25.5446,0.0000,14.2574,8.6323
25.8416,0.0000,14.3069,8.7327
26.1386,0.0000,14.3564,8.8331
26.4356,0.0000,14.4059,8.9334
26.7327,0.0000,14.4554,9.0338
27.0297,0.0000,14.5050,9.1342
27.3267,0.0000,14.5545,9.2346
27.6238,0.0000,14.6040,9.3349
27.9208,0.0000,14.6535,9.4353
28.2178,0.0000,14.7030,9.5357
28.5149,0.0000,14.7525,9.6361
28.8119,0.0000,14.8020,9.7364
29.1089,0.0000,14.8515,9.8368
29.4059,0.0000,14.9010,9.9372
29.7030,0.0000,14.9505,10.0376
30.0000,0.0000,15.0000,10.1379
30.0000,0.2970,15.0495,10.2383
30.0000,0.5941,15.0990,10.3387
30.0000,0.8911,15.1485,10.4391
30.0000,1.1881,15.1980,10.5394
30.0000,1.4851,15.2475,10.6398
30.0000,1.7822,15.2970,10.7402
30.0000,2.0792,15.3465,10.8406
30.0000,2.3762,15.3960,10.9409
30.0000,2.6733,15.4455,11.0413
30.0000,2.9703,15.4950,11.1417
30.0000,3.2673,15.5446,11.2421
30.0000,3.5644,15.5941,11.3424
30.0000,3.8614,15.6436,11.4428
30.0000,4.1584,15.6931,11.5432
30.0000,4.4554,15.7426,11.6436
30.0000,4.7525,15.7921,11.7439
30.0000,5.0495,15.8416,11.8443
30.0000,5.3465,15.8911,11.9447
30.0000,5.6436,15.9406,12.0451
30.0000,5.9406,15.9901,12.1454
30.0000,6.2376,16.0396,12.2458
30.0000,6.5347,16.0891,12.3462
30.0000,6.8317,16.1386,12.4466
30.0000,7.1287,16.1881,12.5470
30.0000,7.4257,16.2376,12.6473
30.0000,7.7228,16.2871,12.7477
30.0000,8.0198,16.3366,12.8481
30.0000,8.3168,16.3861,12.9485
30.0000,8.6139,16.4356,13.0488
30.0000,8.9109,16.4851,13.1492
30.0000,9.2079,16.5347,13.2496
30.0000,9.5050,16.5842,13.3500
30.0000,9.8020,16.6337,13.4503
30.0000,10.0990,16.6832,13.5507
30.0000,10.3960,16.7327,13.6511
30.0000,10.6931,16.7822,13.7515
30.0000,10.9901,16.8317,13.8518
30.0000,11.2871,16.8812,13.9522
30.0000,11.5842,16.9307,14.0526
30.0000,11.8812,16.9802,14.1530
30.0000,12.1782,17.0297,14.2533
30.0000,12.4752,17.0792,14.3537
30.0000,12.7723,17.1287,14.4541
30.0000,13.0693,17.1782,14.5545
30.0000,13.3663,17.2277,14.6548
30.0000,13.6634,17.2772,14.7552
30.0000,13.9604,17.3267,14.8556
30.0000,14.2574,17.3762,14.9560
30.0000,14.5545,17.4257,15.0563
30.0000,14.8515,17.4752,15.1567
30.0000,15.1485,17.5248,15.2571
30.0000,15.4455,17.5743,15.3575
30.0000,15.7426,17.6238,15.4578
30.0000,16.0396,17.6733,15.5582
30.0000,16.3366,17.7228,15.6586
30.0000,16.6337,17.7723,15.7590
30.0000,16.9307,17.8218,15.8593
30.0000,17.2277,17.8713,15.9597
30.0000,17.5248,17.9208,16.0601
30.0000,17.8218,17.9703,16.1605
30.0000,18.1188,18.0198,16.2609
30.0000,18.4158,18.0693,16.3612
30.0000,18.7129,18.1188,16.4616
30.0000,19.0099,18.1683,16.5620
30.0000,19.3069,18.2178,16.6624
30.0000,19.6040,18.2673,16.7627
30.0000,19.9010,18.3168,16.8631
30.0000,20.1980,18.3663,16.9635
30.0000,20.4950,18.4158,17.0639
30.0000,20.7921,18.4653,17.1642
30.0000,21.0891,18.5149,17.2646
30.0000,21.3861,18.5644,17.3650
30.0000,21.6832,18.6139,17.4654
30.0000,21.9802,18.6634,17.5657
30.0000,22.2772,18.7129,17.6661
30.0000,22.5743,18.7624,17.7665
30.0000,22.8713,18.8119,17.8669
30.0000,23.1683,18.8614,17.9672
30.0000,23.4653,18.9109,18.0676
30.0000,23.7624,18.9604,18.1680
30.0000,24.0594,19.0099,18.2684
30.0000,24.3564,19.0594,18.3687
30.0000,24.6535,19.1089,18.4691
30.0000,24.9505,19.1584,18.5695
30.0000,25.2475,19.2079,18.6699
30.0000,25.5446,19.2574,18.7702
30.0000,25.8416,19.3069,18.8706
30.0000,26.1386,19.3564,18.9710
30.0000,26.4356,19.4059,19.0714
30.0000,26.7327,19.4554,19.1717
30.0000,27.0297,19.5050,19.2721
30.0000,27.3267,19.5545,19.3725
30.0000,27.6238,19.6040,19.4729
30.0000,27.9208,19.6535,19.5732
30.0000,28.2178,19.7030,19.6736
30.0000,28.5149,19.7525,19.7740
30.0000,28.8119,19.8020,19.8744
30.0000,29.1089,19.8515,19.9747
30.0000,29.4059,19.9010,20.0751
30.0000,29.7030,19.9505,20.1755
30.0000,30.0000,20.0000,20.2759
29.7030,30.0000,19.9505,20.3763
29.4059,30.0000,19.9010,20.4766
29.1089,30.0000,19.8515,20.5770
28.8119,30.0000,19.8020,20.6774
28.5149,30.0000,19.7525,20.7778
28.2178,30.0000,19.7030,20.8781
27.9208,30.0000,19.6535,20.9785
27.6238,30.0000,19.6040,21.0789
27.3267,30.0000,19.5545,21.1793
27.0297,30.0000,19.5050,21.2796
26.7327,30.0000,19.4554,21.3800
26.4356,30.0000,19.4059,21.4804
26.1386,30.0000,19.3564,21.5808
25.8416,30.0000,19.3069,21.6811
25.5446,30.0000,19.2574,21.7815
25.2475,30.0000,19.2079,21.8819
24.9505,30.0000,19.1584,21.9823
24.6535,30.0000,19.1089,22.0826
24.3564,30.0000,19.0594,22.1830
24.0594,30.0000,19.0099,22.2834
23.7624,30.0000,18.9604,22.3838
23.4653,30.0000,18.9109,22.4841
23.1683,30.0000,18.8614,22.5845
22.8713,30.0000,18.8119,22.6849
22.5743,30.0000,18.7624,22.7853
22.2772,30.0000,18.7129,22.8856
21.9802,30.0000,18.6634,22.9860
21.6832,30.0000,18.6139,23.0864
21.3861,30.0000,18.5644,23.1868
21.0891,30.0000,18.5149,23.2871
20.7921,30.0000,18.4653,23.3875
20.4950,30.0000,18.4158,23.4879
20.1980,30.0000,18.3663,23.5883
19.9010,30.0000,18.3168,23.6886
19.6040,30.0000,18.2673,23.7890
19.3069,30.0000,18.2178,23.8894
19.0099,30.0000,18.1683,23.9898
18.7129,30.0000,18.1188,24.0901
18.4158,30.0000,18.0693,24.1905
18.1188,30.0000,18.0198,24.2909
17.8218,30.0000,17.9703,24.3913
17.5248,30.0000,17.9208,24.4917
17.2277,30.0000,17.8713,24.5920
16.9307,30.0000,17.8218,24.6924
16.6337,30.0000,17.7723,24.7928
16.3366,30.0000,17.7228,24.8932
16.0396,30.0000,17.6733,24.9935
15.7426,30.0000,17.6238,25.0939
15.4455,30.0000,17.5743,25.1943
15.1485,30.0000,17.5248,25.2947
